project_id,start_date,end_date,emission_reduction,project_size,successful_projects,total_projects,verification_score,risk_assessment,compliance_score,validated,project_duration,historical_success_rate
0cf18981-108a-4ea2-acd1-b8e5e47b0f09,2023-01-24,2029-07-08,11940.382624399539,small,11,15,66.78598309739404,55.72620730676841,82.45658113872594,1,2357,0.7333333333333333
2a4d1a11-f2ce-4d48-b3be-6c3afe0ef888,2024-05-06,2027-07-10,9436.349759018756,large,48,42,56.61009172289425,76.68691249970621,98.78637513363446,1,1160,1.0
b410c4a8-08a1-466d-af72-6e36648bba6f,2023-03-22,2028-06-29,10543.34466097857,large,33,9,87.27134110765203,34.58168955751383,71.02164548511522,1,1926,1.0
9fa6b383-bd2c-42f4-8c99-be05c99df374,2020-02-27,2026-01-18,14947.44629931656,large,48,71,85.0718103260125,44.04202937484909,85.76708849385363,0,2152,0.676056338028169
9ecf6138-f65f-4a93-96d2-775bee16f49b,2022-09-20,2028-10-12,9087.567545518912,medium,24,57,71.65609159735217,55.52075484735203,68.37303255546804,1,2214,0.42105263157894735
cb023a9d-c09f-426a-ae66-e4f4baf87a07,2024-03-09,2026-07-27,9560.823710179704,small,35,10,81.47495041863806,41.56027718189174,92.34756791183621,1,870,1.0
c2e90320-da6e-4f48-bf19-6a84c8fc1eb8,2022-12-03,2027-02-20,14299.564903451654,small,6,64,63.750712843223134,52.787402371925296,88.46624801687155,1,1540,0.09375
ecae0d21-f4cd-4c8a-b4f8-dd017f2dffff,2021-11-20,2029-08-27,10658.421860173878,large,14,41,69.67038667520868,39.519041007519334,79.42083028626222,1,2837,0.34146341463414637
65505de2-50fe-4063-b4b2-ecb99cba57b0,2021-07-12,2029-01-16,9340.509690377194,small,20,13,82.7877298132004,46.790851164063504,86.4759561352329,1,2745,1.0
2fb1664d-3e0a-46fc-902a-b829f180f028,2023-04-22,2026-05-29,10697.817727391926,small,24,16,75.57406983319595,46.93865820426183,73.73370356120637,1,1133,1.0
c5c72294-f50d-4e28-9666-2174c0195550,2020-12-07,2025-08-13,8393.487072336044,medium,47,98,74.14399940149636,52.9804485275462,69.06801505754915,1,1710,0.47959183673469385
9fb21fd8-80f9-4260-91e4-2176fa863297,2022-03-31,2025-05-19,9277.646116337388,small,37,72,65.53487094152756,36.319199828471696,71.27115043641743,1,1145,0.5138888888888888
b36c6abb-53b4-4365-a334-92392f25433b,2023-03-07,2025-05-26,10179.691026414883,medium,36,60,68.5554187318261,38.57959081710535,77.83180203386145,0,811,0.6
5c8667a4-6c1c-47af-abfe-fe8d3762e192,2021-12-06,2029-05-17,5273.489321405932,small,15,31,68.3388803996053,31.843387103616625,83.79240964442437,1,2719,0.4838709677419355
eaa15cc2-be42-47be-9718-d87dfc3a6b0c,2022-06-25,2028-10-22,6719.544467477408,medium,0,55,83.06769514597921,57.6796232765158,86.4667211778784,1,2311,0.0
088bb954-5f35-475c-baae-de482e1f1301,2022-10-27,2029-11-17,9000.026521595815,large,46,92,77.63271958699772,71.89894086915757,95.4103499617815,0,2578,0.5
dbcf27a6-dafe-46cf-9c3a-6ce81877beef,2020-11-28,2027-04-29,8085.505924924749,small,36,71,66.44659435201767,65.22732248201586,79.62565676015481,1,2343,0.5070422535211268
dde79241-b624-4677-af13-b536acbce56d,2023-08-03,2026-01-15,11849.104819451999,small,44,34,53.15271108721042,70.24057492652919,75.477766428072,1,896,1.0
42e9fec7-4f4e-44ae-a527-faf4e1b3cba9,2021-07-26,2029-01-11,8143.580810577564,small,13,97,71.9213668612971,53.004122686690174,68.78920623176012,1,2726,0.13402061855670103
309c898a-d0fe-496d-a15a-3c96fb737bf3,2021-07-08,2025-02-18,7910.867141047106,large,33,4,68.32214930235007,57.13533945779211,87.92141215436983,0,1321,1.0
e980eb18-820e-4089-979d-9f99c9a34f57,2021-05-09,2028-05-15,14161.119928821467,small,1,55,71.19749077486755,45.31009195373568,85.09118936007536,0,2563,0.01818181818181818
98478063-46f4-4d33-a911-8d310f67e855,2021-11-24,2028-06-03,9806.510801588198,small,30,90,78.11862248540878,55.09698695365402,77.91139232302415,1,2383,0.3333333333333333
33cbe318-7cbb-46a5-a073-ce16f562e136,2022-07-04,2025-06-23,10307.64514335183,medium,18,66,93.05105277345041,51.56798690682484,95.96157395440834,0,1085,0.2727272727272727
c3a13061-6e02-43ca-810d-68eb436c7721,2025-01-31,2026-03-06,6817.953600681552,small,18,96,68.12099132113741,34.29112781391207,89.39464017091038,1,399,0.1875
6a2cba52-1069-44ec-a33b-bac987038295,2020-04-17,2029-04-01,9171.949704792009,large,43,59,77.02779808586902,48.198741845258525,86.77082803994675,0,3271,0.7288135593220338
6d466f20-0de5-4d22-8df0-109b81914e67,2022-10-17,2028-03-13,10213.542734688323,large,22,41,71.85269389084601,17.607826314408328,81.62814192460945,1,1974,0.5365853658536586
b4a408a8-3165-4978-ba68-6fa1a1a23890,2023-05-02,2025-09-19,6599.175616292786,medium,29,66,86.99903245447896,35.332593520244934,81.3224572406065,0,871,0.4393939393939394
bee7e44b-bf7e-4c01-b1e5-2f3ac735f037,2021-09-22,2026-12-30,10858.846220569358,medium,16,90,75.06200677643345,67.50281387225932,83.69444816145179,1,1925,0.17777777777777778
f5102fcf-bc83-4d97-a9f0-3e98029f7031,2024-12-10,2026-04-25,9140.294066110138,small,1,47,76.13983593617854,45.21693047025643,79.73165159119449,1,501,0.02127659574468085
0bcbb1ee-5b06-4a97-9e46-dfb7cb3045e8,2024-09-19,2029-07-09,9169.403868992807,medium,10,27,75.60286147986243,67.52658630284468,78.22320090073762,1,1754,0.37037037037037035
d1e6cadb-17d6-4f88-891c-79b16bf2040b,2021-03-18,2029-11-23,8508.094345705054,medium,48,79,55.75669213565547,52.29603887635352,80.21511799839676,0,3172,0.6075949367088608
e7092bef-56b0-4f2a-88be-b94b48173e54,2021-11-21,2028-10-21,12868.641780285867,small,13,21,73.81588393118311,20.04508625168461,63.05926939986839,1,2526,0.6190476190476191
6730293d-7d8a-4d5d-88dd-5cef93c95019,2023-05-28,2026-09-12,11511.219226977631,small,40,91,81.05370985888305,69.80161205318949,58.975476246842156,0,1203,0.43956043956043955
3db6d2e8-bbba-4858-919e-b885ba6061f1,2020-07-24,2025-04-01,8721.90646372529,large,28,98,81.30887896822637,50.16383706640705,100.0,0,1712,0.2857142857142857
67aa41e2-d038-480b-a701-efc494e3cb6a,2021-12-30,2028-12-24,11095.575129402598,small,18,11,76.45488448735327,51.97258973774115,100.0,1,2551,1.0
f4de8499-f575-4b64-b0d2-692a89fa08e2,2020-09-05,2025-10-09,7002.092645876483,medium,27,87,80.8194113370456,30.337284401468263,93.63560535469593,0,1860,0.3103448275862069
8efaba7f-3baf-4b6f-b0fb-655f522830c3,2024-08-28,2027-10-30,9899.590719030546,small,0,22,86.08130881600692,61.43843010990765,72.13482510760446,0,1158,0.0
2bf0f419-9874-4b33-9794-54425c30dabc,2023-08-13,2026-07-18,6193.7347916999815,small,4,23,95.89013030660163,63.230170895971675,66.03926450018518,0,1070,0.17391304347826086
2133dc75-ca8e-4c69-bcc2-c9bd202ba026,2024-06-23,2027-07-17,7437.088017997023,large,33,65,74.43974699841887,64.09672433550823,71.23350104816906,0,1119,0.5076923076923077
8b05fce0-568c-4aa4-9c97-885db1ab8f5f,2020-12-29,2028-09-01,10721.327779229561,small,13,59,74.73279313322264,53.41459024056121,76.95560541407927,1,2803,0.22033898305084745
27b30278-0916-4796-82af-c9d8da2cff64,2022-12-01,2027-08-26,10494.535810071127,medium,18,76,63.788345068390974,75.49614983117743,65.16632861861501,1,1729,0.23684210526315788
2d4d2a9d-220f-4bcb-8739-d945ce41993d,2021-12-06,2026-01-04,7827.4254392553075,small,23,89,79.02016657384036,41.798586882324955,80.28941367075329,1,1490,0.25842696629213485
bc6d1722-6018-441d-bf6e-3b7576254c0e,2024-03-16,2029-02-07,9336.709723897837,small,39,70,78.02422921355115,28.401016321073733,83.42356217926951,1,1789,0.5571428571428572
e7856c09-5b6f-4284-930c-87384f0183ec,2020-03-05,2026-08-06,8851.513488627186,large,16,98,51.49809451405019,68.26418948135158,72.93524611942382,1,2345,0.16326530612244897
2d9ff21a-3dc4-4a06-a445-b967df083857,2020-12-01,2029-09-22,7014.524479194671,medium,1,28,82.76817434519938,54.45599581672426,92.0854604685961,1,3217,0.03571428571428571
88e3fe98-22b7-4a43-a30f-3f9a381a5394,2024-11-11,2026-09-17,9235.640699416637,large,30,25,68.78352411620173,7.020780674991758,74.12710023841953,1,675,1.0
a36f7275-0197-4a2f-b0e5-5bb2cff4a1f6,2024-01-28,2029-03-29,9602.13955261516,large,16,82,74.72849184018453,75.64096002327547,79.33898476041816,0,1887,0.1951219512195122
fbaf65f2-25e4-48cb-9cc2-ffe9b5c6a433,2020-02-16,2029-11-19,10716.804066360624,large,7,1,61.371739884999585,43.85053233418452,83.84378852232018,1,3564,1.0
0dd05074-7d0a-4108-af90-6d5bc9323f34,2022-08-01,2027-09-20,11683.190137796135,large,45,32,69.81206589384517,66.702525166119,66.03484297815127,0,1876,1.0
1e135182-00fb-46b2-920f-b7bb31019618,2022-11-30,2025-08-16,6200.850803429426,small,16,29,66.26276801017288,46.43548240254735,84.65077051573728,1,990,0.5517241379310345
b3fc4b84-c107-4b06-a1be-596b961bb126,2023-10-25,2028-06-03,9953.417061327576,large,37,20,70.67428709134218,42.09283848134891,89.61206736553083,1,1683,1.0
6c670652-3dfa-473e-ade5-0bed958984aa,2023-12-13,2027-07-20,10305.21642227402,small,25,46,73.7584878179238,46.585263000138255,68.49038082587343,1,1315,0.5434782608695652
15dabfa3-1f81-4104-8be3-986f0240eeef,2022-01-17,2026-10-16,7631.293670341046,small,42,77,79.72361043179954,59.348981171209395,81.17557431668737,1,1733,0.5454545454545454
1c52b0aa-1490-43dd-8961-6a907e5111b8,2021-04-16,2029-04-23,12002.203375325069,small,39,57,62.85744909810805,55.55701876942783,76.28256946703564,0,2929,0.6842105263157895
68ed5aa0-dc45-4168-a555-fdba29630adc,2023-10-10,2027-02-21,12546.2885000468,small,44,12,65.83371019484753,41.50999446837956,74.61569096865026,1,1230,1.0
0d6d74d9-95ce-44bc-8af0-00786de9a7c2,2024-10-15,2029-05-31,11635.645212653893,medium,39,72,71.78121155773903,34.49018793477347,84.09285929484737,1,1689,0.5416666666666666
50c4a113-5585-4655-89e2-728f916e5544,2023-08-29,2028-07-03,9889.733673887009,small,6,39,70.73797006596895,44.669413291862604,85.11319407028907,1,1770,0.15384615384615385
330bf7e9-8e6d-465c-b4fd-a61d8c94647d,2024-02-05,2028-01-06,8119.826751247492,small,23,8,70.81215238126582,38.59252303626699,55.344148259198654,1,1431,1.0
cd7b6c4c-a752-4c81-9a19-658b89351140,2020-04-16,2026-05-18,9871.815008833823,small,29,82,78.89645768546958,29.670049649496416,77.74058897647141,1,2223,0.35365853658536583
87f55ede-785c-4e7d-9e5b-a4c143274c8d,2021-12-26,2028-10-08,11201.612968099433,small,25,85,91.07062353630928,48.80636036681471,100.0,1,2478,0.29411764705882354
40d92b26-7ddd-4792-a7f1-ed9b6e87c33f,2023-11-22,2026-01-14,9468.5857196671,medium,29,28,64.36090669783124,41.40236892979168,65.33820602091876,1,784,1.0
d8091d19-0a6e-43e9-803f-de62f1cbb53f,2022-11-14,2025-11-23,10476.874344766748,small,34,31,54.64748278420098,37.97220424835202,84.30618220483208,1,1105,1.0
e860cd06-8bd8-4fab-aff4-762151ae463f,2024-02-01,2026-07-28,6594.138672392886,small,1,15,69.57640687331282,38.400236980331705,69.33862980833476,1,908,0.06666666666666667
c0f5676c-ebb1-46f5-919a-e8c7ff2e5345,2023-09-24,2026-03-12,7593.210383913329,small,43,60,71.30306352196561,73.30944867424537,74.81655488980715,0,900,0.7166666666666667
44483a71-e5f7-4612-ac10-0c4df796c1c3,2024-09-07,2025-07-31,11392.505247682451,small,3,39,87.86503253089522,26.16227799808162,81.64943398580071,1,327,0.07692307692307693
6a267dcf-63e8-4826-9d2c-9bf22c35ce75,2021-05-23,2027-06-23,12777.90286743397,medium,4,97,81.7320216997138,59.13704609976695,81.8698291610509,1,2222,0.041237113402061855
180a3215-c269-42b7-a5f1-5fdd7c6d2c5c,2023-05-09,2028-03-16,11665.890134676098,small,47,87,75.51981999079439,54.56758139201402,71.34439212374924,0,1773,0.5402298850574713
8e4832bb-fa43-4c70-b7ba-39fadc142e08,2021-06-23,2027-09-05,12195.48451168841,small,1,80,78.64133043189665,62.07434277683739,71.6491974794145,1,2265,0.0125
a852afab-233b-4534-bc62-b08a613a8791,2021-07-19,2026-12-28,8968.506636382506,small,30,88,68.77828135848907,54.86640505576392,82.1143337400254,1,1988,0.3409090909090909
59f4baae-4a31-4f23-8b67-929914694447,2020-12-07,2025-09-23,7275.536097507507,small,26,21,61.52926060076862,32.766236676659084,96.37636346557287,0,1751,1.0
6eb5d005-0140-4e6c-9e7c-45a23e2ab68b,2024-01-30,2026-05-20,10811.415107097746,large,23,8,87.7361305346798,56.95962858654091,70.54645678813505,1,841,1.0
bd272380-eef2-4049-a77b-34960b768e23,2021-10-26,2026-05-31,11701.133776264307,small,44,42,69.44327263508708,26.56251433050182,84.01804766398787,0,1678,1.0
18097331-1424-4481-ad09-b86b54e2f59e,2021-02-16,2025-04-05,11103.517667596529,large,3,59,95.97608400476376,64.67159588396174,89.7903345079768,0,1509,0.05084745762711865
9b5d3bb7-b1f3-4fa1-9e06-2daeb945232f,2023-11-08,2027-05-10,12395.926549482632,medium,27,81,72.65301970784368,61.946373883407276,83.5026520890041,1,1279,0.3333333333333333
